Flight No.,"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,1,2,3,4,5,6,7,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
54,,VAFB,,"4,990 kg",Polar,NASA,,,,,,,,,,Formosat-5,Success,F9 FT,Controlled,"['14 August 2017,', '16:31']",18:51
55,,KSC,,"9,600 kg",GTO,Iridium Communications,,,,,,,,,,Boeing X-37B,Success,F9 B4,Success,"['24 August 2017,', '18:51']",14:00
56,,VAFB,,"5,200 kg",GTO,Northrop Grumman,,,,,,,,,,Iridium NEXT,Success,F9 B4,Controlled,"['7 September 2017,', '14:00']",12:37
57,,KSC,,"3,500 kg",LEO,SES,,,,,,,,,,SES-11,Success,F9 FTB1031.2,Not attempted,"['9 October 2017,', '12:37']",22:53:00
58,,KSC,,"2,205 kg",Polar,Hisdesat,,,,,,,,,,Koreasat 5A,Success,F9 B4,No attempt,"['11 October 2017,', '22:53:00']",19:34
59,,Cape Canaveral,,"9,600 kg",LEO,Hispasat,,,,,,,,,,SpaceX CRS-13,Success,F9 FTB1035.2,No attempt,"['30 October 2017,', '19:34']",15:36
60,,VAFB,,C,GTO,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,F9 FTB1036.2,Not attempted,"['15 December 2017,', '15:36']",01:27
61,,CCAFS,,"4,230 kg",SSO,NASA,,,,,,,,,,Zuma,Success,F9 B4,Success,"['23 December 2017,', '01:27']",01:00
62,,CCAFS,,"2,150 kg",GTO,NASA,,,,,,,,,,GovSat-1,Success,F9 FTB1032.2,Success,"['8 January 2018,', '01:00']",21:25
63,,VAFB,,"6,092 kg",Polar,Thales-Alenia,,,,,,,,,,Paz,Success,F9 FTB1038.2,Not attempted,"['31 January 2018,', '21:25']",14:17
64,,CCAFS,,"9,600 kg",LEO,Iridium Communications,,,,,,,,,,Hispasat 30W-6,Success,F9 B4,Not attempted,"['22 February 2018,', '14:17']",05:33
65,,VAFB,,"2,647 kg",HEO,SES,,,,,,,,,,Iridium NEXT,Success,F9 B4B1041.2,Not attempted,"['6 March 2018,', '05:33']",14:14
66,,CCAFS,,362 kg,GTO,NASA,,,,,,,,,,SpaceX CRS-14,Success,F9 B4B1039.2,Success,"['30 March 2018,', '14:14']",20:30
67,,CCAFS,,"3,600 kg",Polar,Telesat,,,,,,,,,,Transiting Exoplanet Survey Satellite,Success,F9 B4,Success,"['2 April 2018,', '20:30']",22:51
68,,KSC,,"6,460 kg",GTO,Iridium Communications,,,,,,,,,,Bangabandhu-1,Success,F9 B5B1046.1,Success,"['18 April 2018,', '22:51']",20:14
69,,VAFB,,"5,384 kg",LEO,Telkom Indonesia,,,,,,,,,,Iridium NEXT,Success,F9 B4B1043.2,Success,"['11 May 2018,', '20:14']",19:47
70,,CCAFS,,"2,697 kg",GTO,Telesat,,,,,,,,,,SES-12,Success,F9 B4B1040.2,Success,"['22 May 2018,', '19:47']",04:45
71,,CCAFS,,"7,075 kg",Polar,CONAE,,,,,,,,,,SpaceX CRS-15,Success,F9 B4B1045.2,Success,"['4 June 2018,', '04:45']",09:42
72,,CCAFS,,"9,600 kg",GTO,Es'hailSat,,,,,,,,,,Telstar 19V,Success,F9 B5,Success,"['29 June 2018,', '09:42']",05:50
73,,VAFB,,"5,800 kg",GTO,Spaceflight Industries,,,,,,,,,,Iridium NEXT,Success,F9 B5B1048,Failure,"['22 July 2018,', '05:50']",11:39
74,,CCAFS,,"7,060 kg",SSO,NASA,,,,,,,,,,Merah Putih,Success,F9 B5B1046.2,Not attempted,"['25 July 2018,', '11:39']",05:18
75,,CCAFS,,"3,000 kg",GTO,USAF,,,,,,,,,,Telstar 18V,Success,F9 B5,Success,"['7 August 2018,', '05:18']",04:45
76,,VAFB,,"5,300 kg",SSO,Iridium Communications,,,,,,,,,,SAOCOM 1A,Success,F9 B5B1048.2,Success,"['10 September 2018,', '04:45']",02:22
77,,KSC,,"~4,000 kg",LEO,PSN,,,,,,,,,,Es'hail 2,Success,F9 B5B1047.2,Success,"['8 October 2018,', '02:22']",20:46
78,,VAFB,,"2,500 kg",MEO,NASA,,,,,,,,,,SSO-A,Success,F9 B5B1046.3,Success,"['15 November 2018,', '20:46']",18:34:05
79,,CCAFS,,"4,400 kg",Polar,NASA,,,,,,,,,,SpaceX CRS-16,Success,F9 B5,Success,"['3 December 2018,', '18:34:05']",18:16
80,,CCAFS,,"9,600 kg",GTO,SpaceX,,,,,,,,,,GPS III,Success,F9 B5,Success,"['5 December 2018,', '18:16']",13:51
81,,VAFB,,"4,850 kg",LEO,Canadian Space Agency,,,,,,,,,,Iridium NEXT,Success,F9 B5B1049.2,Success,"['23 December 2018,', '13:51']",15:31
82,,CCAFS,,"12,055 kg",LEO,NASA,,,,,,,,,,Nusantara Satu,Success,F9 B5B1048.3,Not attempted,"['11 January 2019,', '15:31']",01:45
83,,KSC,,"2,495 kg",LEO,Spacecom,,,,,,,,,,Crew Dragon Demo-1,Success,F9 B5[268],Success,"['22 February 2019,', '01:45']",07:49
84,,CCAFS,,"13,620 kg",SSO,SpaceX,,,,,,,,,,SpaceX CRS-17,Success,F9 B5,Success,"['2 March 2019,', '07:49']",06:48
85,,CCAFS,,"4,200 kg",LEO,NASA,,,,,,,,,,Starlink,Success,F9 B5B1049.3,Success,"['4 May 2019,', '06:48']",02:30
86,,VAFB,,"2,268 kg",GTO,Sky Perfect JSAT,,,,,,,,,,RADARSAT Constellation,Success,F9 B5B1051.2,Success,"['24 May 2019,', '02:30']",14:17
87,,CCAFS,,"6,500 kg",LEO,SpaceX,,,,,,,,,,SpaceX CRS-18,Success,F9 B5B1056.2,"Not attempted
","['12 June 2019,', '14:17']",22:01
88,,CCAFS,,"15,600 kg",LEO,NASA,,,,,,,,,,AMOS-17,Success,F9 B5B1047.3,Success,"['25 July 2019,', '22:01']",23:23
89,,CCAFS,,"2,617 kg",GTO,SpaceX,,,,,,,,,,Starlink,Success,F9 B5,Failure,"['6 August 2019,', '23:23']",14:56
90,,CCAFS,,"6,956 kg",LEO,SpaceX,,,,,,,,,,SpaceX CRS-19,Success,F9 B5,Success,"['11 November 2019,', '14:56']",17:29
91,,CCAFS,,"15,600 kg",Sub-orbital,NASA,,,,,,,,,,JCSat-18,Success,F9 B5B1056.3,Failure,"['5 December 2019,', '17:29']",00:10
92,,CCAFS,,"12,050 kg",LEO,SpaceX,,,,,,,,,,Starlink,Success,F9 B5,Success,"['17 December 2019,', '00:10']",02:19:21
93,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Crew Dragon in-flight abort test,Success,F9 B5,Success,"['7 January 2020,', '02:19:21']",15:30
94,,CCAFS,,"15,600 kg",LEO,NASA,,,,,,,,,,Starlink,Success,F9 B5,Success,"['19 January 2020,', '15:30']",14:07
95,,CCAFS,,"1,977 kg",LEO,SpaceX,,,,,,,,,,Starlink,Success,F9 B5,Success,"['29 January 2020,', '14:07']",15:05
96,,CCAFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,SpaceX CRS-20,Success,F9 B5,Success,"['17 February 2020,', '15:05']",04:50
97,,KSC,,"15,600 kg",LEO,U.S. Space Force,,,,,,,,,,Starlink,Success,F9 B5,Success,"['7 March 2020,', '04:50']",12:16
98,,KSC,,"12,530 kg",LEO,Republic of Korea Army,,,,,,,,,,Starlink,Success,F9 B5,Success,"['18 March 2020,', '12:16']",19:30
99,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Crew Dragon Demo-2,Success,F9 B5,Success,"['22 April 2020,', '19:30']",19:22
100,,CCAFS,,"15,410 kg",MEO,SpaceX,,,,,,,,,,Starlink,Success,F9 B5,Success,"['30 May 2020,', '19:22']",01:25
101,,CCAFS,,"4,311 kg",GTO,CONAE,,,,,,,,,,Starlink,Success,F9 B5,Success,"['4 June 2020,', '01:25']",09:21
102,,CCAFS,,"5,000–6,000 kg",LEO,SpaceX,,,,,,,,,,GPS III,Success,F9 B5,Success,"['13 June 2020,', '09:21']",20:10:46
103,,CCAFS,,"14,932 kg",LEO,SpaceX,,,,,,,,,,ANASIS-II,Success,F9 B5B1058.2,Success,"['30 June 2020,', '20:10:46']",21:30
104,,KSC,,"~15,440 kg",SSO,SpaceX,,,,,,,,,,Starlink,Success,F9 B5,Success,"['20 July 2020,', '21:30']",05:12
105,,CCAFS,,"3,130 kg",LEO,SpaceX,,,,,,,,,,Starlink,Success,F9 B5B1049.6,Success,"['7 August 2020,', '05:12']",14:31
106,,CCAFS,,"15,600 kg",LEO,USSF,,,,,,,,,,SAOCOM 1B,Success,F9 B5,Success,"['18 August 2020', '14:31']",23:18
107,,KSC,,"15,600 kg",LEO,NASA,,,,,,,,,,Starlink,Success,F9 B5B1060.2,Success,"['30 August 2020', '23:18']",12:46:14
108,,KSC,,"15,600 kg",LEO,NASA,,,,,,,,,,Starlink,Success,F9 B5B1058.3,Success,"['3 September 2020', '12:46:14']",11:29:34
109,,KSC,,"15,600 kg",MEO,SpaceX,,,,,,,,,,Starlink,Success,F9 B5B1051.6,Success,"['6 October 2020', '11:29:34']",12:25:57
110,,CCAFS,,"4,311 kg",LEO,NASA,,,,,,,,,,Starlink,Success,F9 B5,Success,"['18 October 2020', '12:25:57']",15:31:34
111,,CCAFS,,"~12,500 kg",LEO,Sirius XM,,,,,,,,,,GPS III,Success,F9 B5,Success,"['24 October 2020', '15:31:34']",23:24:23
112,,KSC,,"1,192 kg",LEO,NRO,,,,,,,,,,Crew-1,Success,F9 B5,Success,"['5 November 2020', '23:24:23']",00:27
113,,VAFB,,"15,600 kg",LEO,Türksat,,,,,,,,,,Sentinel-6 Michael Freilich (Jason-CS A),Success,F9 B5,Success,"['16 November 2020', '00:27']",17:17:08
114,,CCAFS,,"2,972 kg",GTO,SpaceX,,,,,,,,,,Starlink,Success,F9 B5 ♺,Success,"['21 November 2020', '17:17:08']",02:13
115,,KSC,,"7,000 kg",LEO,"Various
",,,,,,,,,,SpaceX CRS-21,Success,F9 B5 ♺,Success,"['25 November 2020', '02:13']",16:17:08
116,,CCSFS,,C,GTO,SpaceX,,,,,,,,,,SXM-7,Success,F9 B5 ♺,Failure,"['6 December 2020', '16:17:08']",17:30:00
117,,KSC,,"3,500 kg",LEO,SpaceX,,,,,,,,,,NROL-108,Success,F9 B5 ♺,Success,"['13 December 2020', '17:30:00']",14:00:00
118,,CCSFS,,"15,600 kg",SSO,SpaceX,,,,,,,,,,Türksat 5A,Success,F9 B5,Success,"['19 December 2020', '14:00:00']",02:15
119,,KSC,,"~5,000 kg",LEO,SpaceX,,,,,,,,,,Starlink,Success,F9 B5B1051.8,Success,"['8 January 2021', '02:15']",13:02
120,,CCSFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Transporter-1,Success,F9 B5B1058.5,Success,"['20 January 2021', '13:02']",15:00
121,,CCSFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,Success,F9 B5 ♺,Success,"['24 January 2021', '15:00']",06:19
1,,CCSFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,Success,F9 B5 ♺,Success,"['4 February 2021', '06:19']",03:59:37
2,,KSC,,"15,600 kg",LEO,NASA,,,,,,,,,,Starlink,Success,F9 B5 ♺,Success,"['16 February 2021', '03:59:37']",08:24
3,,CCSFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,Success,F9 B5 ♺,Success,"['4 March 2021', '08:24']",08:13:29
4,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,Success,F9 B5 ♺,Success,"['11 March 2021', '08:13:29']",10:01
5,,CCSFS,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,Success,F9 B5B1060.6,Success,"['14 March 2021', '10:01']",08:28
6,,CCSFS,,"~13,000 kg",LEO,SpaceX,,,,,,,,,,Starlink,Success,F9 B5 ♺,Success,"['24 March 2021', '08:28']",16:34
7,,KSC,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Crew-2,Success,F9 B5B1061.2,Success,"['7 April 2021', '16:34']",9:49
8,,CCSFS,,"15,600 kg",LEO,NASA,,,,,,,,,,Starlink,Success,F9 B5B1060.7,Success,"['23 April 2021', '9:49']",03:44
9,,KSC,,"15,600 kg",LEO,Sirius XM,,,,,,,,,,Starlink,Success,F9 B5B1049.9,Failure,"['29 April 2021', '03:44']",19:01
10,,CCSFS,,"~14,000 kg",LEO,SpaceX,,,,,,,,,,Starlink,Success,F9 B5B1051.10,Failure,"['4 May 2021', '19:01']",06:42
11,,KSC,,"15,600 kg",LEO,NASA,,,,,,,,,,Starlink,Success,F9 B5B1058.8,Not attempted,"['9 May 2021', '06:42']",22:56
12,,CCSFS,,"3,328 kg",GTO,NASA,,,,,,,,,,Starlink,Success,F9 B5B1063.2,No attempt,"['15 May 2021', '22:56']",18:59
13,,KSC,,"7,000 kg",LEO,NASA,,,,,,,,,,SpaceX CRS-22,Success,F9 B5B1067.1,Not attempted,"['26 May 2021', '18:59']",17:29
14,,CCSFS,,0,LEO,NASA,,,,,,,,,,SXM-8,Success,F9 B5,Uncontrolled,"['3 June 2021', '17:29']",04:26
15,,CCAFS,,0,LEO,MDA,,,,,,,,,,Dragon Spacecraft Qualification Unit,Success,F9 v1.0B0003.1,Not attempted,"['6 June 2021', '04:26']",18:45
16,,CCAFS,,525 kg,LEO,SES,,,,,,,,,,Dragon,Success,F9 v1.0B0004.1,Not attempted,"['4 June 2010,', '18:45']",15:43
17,,CCAFS,,"4,700 kg",LEO,Thaicom,,,,,,,,,,Dragon,Success,F9 v1.0B0005.1,Controlled,"['8 December 2010,', '15:43']",07:44
18,,CCAFS,,"4,877 kg",Polar orbit,NASA,,,,,,,,,,SpaceX CRS-1,Success,F9 v1.0B0006.1,Controlled,"['22 May 2012,', '07:44']",00:35
19,,CCAFS,,500 kg,GTO,Orbcomm,,,,,,,,,,SpaceX CRS-2,Success,F9 v1.0B0007.1,Not attempted,"['8 October 2012,', '00:35']",15:10
20,,VAFB,,"3,170 kg",GTO,AsiaSat,,,,,,,,,,CASSIOPE,Success,F9 v1.1B1003,Not attempted,"['1 March 2013,', '15:10']",16:00
21,,CCAFS,,"3,325 kg",LEO,AsiaSat,,,,,,,,,,SES-8,Success,F9 v1.1,Uncontrolled,"['29 September 2013,', '16:00']",22:41
22,,CCAFS,,"2,296 kg",LEO,NASA,,,,,,,,,,Thaicom 6,Success,F9 v1.1,Failure ,"['3 December 2013,', '22:41']",22:06
23,,Cape Canaveral,,"1,316 kg",GTO,NASA,,,,,,,,,,SpaceX CRS-3,Success,F9 v1.1,Controlled,"['6 January 2014,', '22:06']",19:25
24,,Cape Canaveral,,"4,535 kg",GTO,USAF,,,,,,,,,,Orbcomm-OG2,Success,F9 v1.1,Not attempted,"['18 April 2014,', '19:25']",15:15
25,,Cape Canaveral,,"4,428 kg",LEO,ABS,,,,,,,,,,AsiaSat 8,Success,F9 v1.1,Failure,"['14 July 2014,', '15:15']",08:00
26,,Cape Canaveral,,"2,216 kg",LEO,NASA,,,,,,,,,,AsiaSat 6,Success,F9 v1.1,Not attempted,"['5 August 2014,', '08:00']",05:00
27,,Cape Canaveral,,"2,395 kg",HEO,,,,,,,,,,,SpaceX CRS-4,Failure,F9 v1.1,Precluded,"['7 September 2014,', '05:00']",05:52
28,,Cape Canaveral,,570 kg,GTO,NASA,,,,,,,,,,SpaceX CRS-5,Success,F9 v1.1,Success,"['21 September 2014,', '05:52']",09:47
29,,Cape Canaveral,,"4,159 kg",LEO,Orbcomm,,,,,,,,,,DSCOVR,Success,F9 v1.1,Failure,"['10 January 2015,', '09:47']",23:03
30,,Cape Canaveral,,"1,898 kg",GTO,NASA,,,,,,,,,,ABS-3A,Success,F9 v1.1,Failure,"['11 February 2015,', '23:03']",03:50
31,,Cape Canaveral,,"4,707 kg",LEO,SES,,,,,,,,,,SpaceX CRS-6,Success,F9 v1.1,Success,"['2 March 2015,', '03:50']",20:10
32,,Cape Canaveral,,"1,952 kg",LEO,NASA,,,,,,,,,,TürkmenÄlem 52°E / MonacoSAT,Success,F9 v1.1,Success,"['14 April 2015,', '20:10']",23:03
33,,Cape Canaveral,,"2,034 kg",LEO,SKY Perfect JSAT Group,,,,,,,,,,SpaceX CRS-7,Success,F9 v1.1,Success,"['27 April 2015,', '23:03']",14:21
34,,Cape Canaveral,,553 kg,GTO,Thaicom,,,,,,,,,,Orbcomm-OG2,Success,F9 FT,Failure,"['28 June 2015,', '14:21']",01:29
35,,VAFB,,"5,271 kg",LEO,ABS,,,,,,,,,,Jason-3,Success,F9 v1.1,Success,"['22 December 2015,', '01:29']",18:42
36,,Cape Canaveral,,"3,136 kg",GTO,NASA,,,,,,,,,,SES-9,Success,F9 FT,Success,"['17 January 2016,', '18:42']",23:35
37,,Cape Canaveral,,"4,696 kg",GTO,SKY Perfect JSAT Group,,,,,,,,,,SpaceX CRS-8,Success,F9 FT,Success,"['4 March 2016,', '23:35']",20:43
38,,Cape Canaveral,,"3,100 kg",GTO,Iridium Communications,,,,,,,,,,JCSAT-14,Success,F9 FT,Success,"['8 April 2016,', '20:43']",05:21
39,,Cape Canaveral,,"3,600 kg",LEO,NASA,,,,,,,,,,Thaicom 8,Success,F9 FT,Not attempted,"['6 May 2016,', '05:21']",21:39
40,,Cape Canaveral,,"2,257 kg",GTO,EchoStar,,,,,,,,,,ABS-2A,Success,F9 FT,Success,"['27 May 2016,', '21:39']",14:29
41,,Cape Canaveral,,"4,600 kg",Polar,SES,,,,,,,,,,SpaceX CRS-9,Success,F9 FT,Success,"['15 June 2016,', '14:29']",04:45
42,,Cape Canaveral,,"9,600 kg",LEO,NRO,,,,,,,,,,JCSAT-16,Success,F9 FT,Not attempted,"['18 July 2016,', '04:45']",05:26
43,,VAFB,,"2,490 kg",GTO,Inmarsat,,,,,,,,,,Iridium NEXT,Success,F9 FT,Success,"['14 August 2016,', '05:26']",17:54
44,,KSC,,"5,600 kg",GTO,NASA,,,,,,,,,,SpaceX CRS-10,Success,F9 FT,Success,"['14 January 2017,', '17:54']",14:39
45,,KSC,,"5,300 kg",LEO,Bulsatcom,,,,,,,,,,EchoStar 23,Success,F9 FT,Success,"['19 February 2017,', '14:39']",06:00
46,,KSC,,C,GTO,Iridium Communications,,,,,,,,,,SES-10,Success,F9 FT♺,Not attempted,"['16 March 2017,', '06:00']",22:27
47,,KSC,,"6,070 kg",LEO,Intelsat,,,,,,,,,,NROL-76,Success,F9 FT,Success,"['30 March 2017,', '22:27']",11:15
48,,KSC,,"2,708 kg",GTO,NASA,,,,,,,,,,Inmarsat-5 F4,Success,F9 FT,Success,"['1 May 2017,', '11:15']",23:21
49,,KSC,,"3,669 kg",LEO,NSPO,,,,,,,,,,SpaceX CRS-11,Success,F9 FT,Success,"['15 May 2017,', '23:21']",21:07
50,,KSC,,"9,600 kg",GTO,USAF,,,,,,,,,,BulgariaSat-1,Success,F9 FTB1029.2,Success,"['3 June 2017,', '21:07']",19:10
51,,VAFB,,"6,761 kg",LEO,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,F9 FT,Success,"['23 June 2017,', '19:10']",20:25
52,,KSC,,"3,310 kg",SSO,SES S.A.,,,,,,,,,,Intelsat 35e,Success,F9 FT,Success,"['25 June 2017,', '20:25']",23:38
53,,KSC,,475 kg,LEO,KT Corporation,,,,,,,,,,SpaceX CRS-12,Success,F9 B4,Success,"['5 July 2017,', '23:38']",16:31
54,,VAFB,,"4,990 kg",Polar,NASA,,,,,,,,,,Formosat-5,Success,F9 FT,Controlled,"['14 August 2017,', '16:31']",18:51
55,,KSC,,"9,600 kg",GTO,Iridium Communications,,,,,,,,,,Boeing X-37B,Success,F9 B4,Success,"['24 August 2017,', '18:51']",14:00
56,,VAFB,,"5,200 kg",GTO,Northrop Grumman,,,,,,,,,,Iridium NEXT,Success,F9 B4,Controlled,"['7 September 2017,', '14:00']",12:37
57,,KSC,,"3,500 kg",LEO,SES,,,,,,,,,,SES-11,Success,F9 FTB1031.2,Not attempted,"['9 October 2017,', '12:37']",22:53:00
58,,KSC,,"2,205 kg",Polar,Hisdesat,,,,,,,,,,Koreasat 5A,Success,F9 B4,No attempt,"['11 October 2017,', '22:53:00']",19:34
59,,Cape Canaveral,,"9,600 kg",LEO,Hispasat,,,,,,,,,,SpaceX CRS-13,Success,F9 FTB1035.2,No attempt,"['30 October 2017,', '19:34']",15:36
60,,VAFB,,C,GTO,Iridium Communications,,,,,,,,,,Iridium NEXT,Success,F9 FTB1036.2,Not attempted,"['15 December 2017,', '15:36']",01:27
61,,CCAFS,,"4,230 kg",SSO,NASA,,,,,,,,,,Zuma,Success,F9 B4,Success,"['23 December 2017,', '01:27']",01:00
62,,CCAFS,,"2,150 kg",GTO,NASA,,,,,,,,,,GovSat-1,Success,F9 FTB1032.2,Success,"['8 January 2018,', '01:00']",21:25
63,,VAFB,,"6,092 kg",Polar,Thales-Alenia,,,,,,,,,,Paz,Success,F9 FTB1038.2,Not attempted,"['31 January 2018,', '21:25']",14:17
